no	tempo	potencia	taxaMAC
2	30,073599456638	-15	80
1	30,276771905091	-15	60
3	30,299553348661	-15	80
4	30,309005971762	-10	80
5	30,524254867227	-10	70
4	30,758566398086	-10	50
2	30,769268774291	-15	80
5	30,779581697424	-10	50
1	30,992330809193	-15	70
5	31,011392842924	-10	90
4	31,033970850589	-10	60
3	31,263782435142	-20	60
4	31,284610115781	-10	80
2	31,475094093981	-12	50
5	31,495484116528	-10	70
1	31,511968731051	-12	30
3	31,515328576187	-15	20
4	31,712374000991	-10	80
5	31,765966045822	-10	70
4	31,952622775939	-10	70
3	31,956216508691	-15	70
2	32,002542846548	-12	60
5	32,192559054218	-10	40
3	32,195558964416	-15	70
4	32,216699350531	-10	80
1	32,436010933093	-10	40
3	32,46741738465	-15	70
4	32,478979025782	-10	90
5	32,672509719874	-10	90
2	32,709930666211	-15	70
1	32,91853969638	-10	30
5	32,925102185771	-10	90
3	32,948305529743	-20	60
4	32,951117478361	-10	70
5	33,17691275456	-10	80
4	33,194959826968	-10	70
1	33,396302902484	-12	70
2	33,412473879979	-12	60
4	33,632879804408	-10	60
1	33,648348442679	-15	70
3	33,656708013494	-20	60
5	33,685221949303	-10	60
4	33,905658907227	-10	70
3	34,118299203611	-15	70
5	34,138455183662	-10	60
4	34,149783095184	-10	80
1	34,163533258729	-15	70
2	34,352610502469	-15	90
3	34,404876320463	-20	90
5	34,595202982448	-10	30
4	34,624186937402	-10	70
1	34,84545173219	-12	30
5	34,868341377226	-10	30
3	35,072653672627	-15	70
4	35,094637775217	-10	80
1	35,112028423589	-15	70
5	35,115230518299	-10	40
2	35,324386659701	-15	80
3	35,356262026731	-15	70
5	35,553463754703	-10	70
4	35,5729947759	-10	80
5	35,821993081687	-10	80
4	35,845274324186	-10	80
1	36,032945640044	-15	80
3	36,043726871774	-20	50
5	36,046382846306	-10	90
2	36,074584259821	-15	80
5	36,278507014033	-10	70
3	36,322491512991	-20	60
4	36,513130689794	-10	40
5	36,515865058408	-10	90
1	36,757988832624	-15	70
4	36,774394804482	-10	80
2	36,779550184536	-12	60
5	36,993003241449	-10	90
3	37,02378464837	-15	20
4	37,238642579716	-10	70
5	37,283406735273	-10	90
4	37,497172321783	-10	70
3	37,513266582128	-20	60
1	37,71265578863	-15	80
2	37,732342869755	-15	80
5	37,758357682043	-10	80
4	37,954467087249	-10	70
3	37,962435854521	-15	30
5	38,202684472202	-10	50
3	38,227997271945	-15	70
1	38,444573947216	-15	80
4	38,449886438861	-10	70
5	38,470197772126	-10	30
3	38,47316793636	-20	60
2	38,673025899376	-20	90
5	38,724664884289	-10	80
4	38,913509034195	-10	70
3	38,930384083366	-20	50
5	39,155710946634	-10	60
4	39,158601475835	-10	70
